Model,Water Body Type,Watershed Size,Watershed Type,Water Body Characteristics,Water Body Size,Dimensions,Simulation Type,Parameters,Model Time Step ,Time Step,Computation requirements,Model Complexity,Simulation Objectives,Data Requirements,Model Availability,Model Limitations,Location,Notes
GLM,Water body,,,"Reservoirs, Lakes","Small, Medium, Large",1D,,"Water Levels, Reservoir Operations,",,"Minutes, hHours",Computational expensive,Complex,"Holistic Simulation, Support reservoir management decisions, Climate Change Studies","Bathymetric data, Solar radiation, Temperature, Wind speed, Relative humidity, Precipitation, Flow,",Open source,"Assumes horizontal homogeneity, Simplified Mixing Processes, Dependent on Input Data, No Water Quality",Other,
AGNPS,Watershed,"Small, Medium",Agricultural,,,,Event-based model,"Q, TP, TN ",,Daily,Computational expensive,Simple,"Assessment of Storm events, BMP Evaluations, ","DEM, LULC, Soil, Precipitation, Temperature ",Open source,"Poor prediction of peak flows, Does not support saturated runoff generating areas, Temporally lumped",Other,
AGNPS-VSA,Watershed,"Small, Medium",Agricultural,,,,Event-based model,"Q, TP, TN ",,Daily,Computational expensive,Complex,"Assessment of Storm events, BMP Evaluations, simulate watersheds with variable source areas,","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Requires detailed spatial data, Temporally lumped, Poor prediction of peak flows",Other,Variable Source Area (VSA) integration means the models have been reconceptualized to inlcude saturation excess mechanism in generating runoff. It improves the representation of runoff generation by considering areas within the watershed that contribute more significantly to runoff due to their hydrological characteristics
AnnAGNPS,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,"Computational expensive, user-friendly",Medium,"Holistic Simulation, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source ,"Does not simulate baseflow, Poor sediment simulation, Poor groundwater simulation, Manual calibration, Limited developer and community support, Point source loads are limited to constant loading rates for the entire simulation period, Can not be coupled with optimization algorithm, Does not simulate large watersheds, Does not simulate urban watersheds, Requires numerous parameters and complex calibration",Other,(https://www.ars.usda.gov/southeast-area/oxford-ms/national-sedimentation-laboratory/watershed-physical-processes-research/docs/annagnps-pollutant-loading-model/)
DLEM,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,"Computational expensive, user-friendly",Complex,Holistic Simulation,"DEM, LULC, Soil, Precipitation, Temperature",Open source,"Poor sediment simulation, Can not be coupled with optimization algorithm, Manual calibration, Poor groundwater simulation, Limited developer and community support, Poor simulation of extreme events, Poor simulation of small watersheds",Other,
ELEMeNT-N,Watershed,Medium,"Agricultural, Urban",,,,Continuous model,TN,,Daily,Computational expensive,Medium,"Evaluate legacy Nitrogen, predict nitrogen transport and transformation within a watershed","LULC, N surplus, Soil, ",Not open source,"Limited ability in addressing long-term legacy N dynamics, Sensitive to specific input parameters, Simplified hydrological processes, Simplified biogeochemical processes, Manual calibration, Simulates N Only",Other,
LSPC,Watershed,"Small, Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Hourly,Sub-daily,Computational Expensive,Complex,"Holistic Simulation, TMDL development,  assess the effects of land use change","DEM, LULC, Soil, Precipitation, Temperature, ET, ",Open source,"Does not allow multiple subbasins to connect to a single reach, Poor interactive process between surface and subsurface water, Does not simulate BMPs, Poor sediment simulation, Poor groundwater simulation, Limited developer and community support, Requires numerous parameters and complex calibration",Other,
MapShed,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Monthly,Computational Expensive,Medium,"Holistic Simulation, TMDL development, BMP Evaluations, Watershed management","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Limited crop differentiation, Poor channel/river routing, Manual calibration, Poor sediment simulation, Poor groundwater simulation, Can not be coupled with optimization algorithm, Limited applications in urban watersheds",Other,
AVGWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Daily,Medium Complex,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Monthly nutrient load outputs, Poor groundwater simulation, Manual calibration, Can not be coupled with optimization algorithm, Limited applications in urban watersheds",Other,
WASP8,Water body,,,"Coastal, Estuarine, Rivers, Lakes","Small, Medium, Large","1D, 2D, 3D",,"Water Levels, Phosphorus, Nitrogen, algae, Chla, DO, Sediment Transport",,"Hours, Daily",Computational Expensive,Complex,"Holistic Simulation, TMDL development, management of eutrophication and algal blooms, Modeling the transport and transformation of pollutants, Climate Change Studies, ","Temperature, Wind speed, Solar radiation, Flow, Water quality, DO, Algae, Sediment characteristics",Open source,"Extensive datasets, Simplified representation of complex biogeochemical processes, Poor simulation of suspended solids, Does not consider specific algae species, Does not deal with NPS pollution, No provision for developing TMDLs, Sensitive to specific input parameters, Dependent on Input Data",Other,
Mike Basin,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN",Daily,Daily,Computational Expensive,Complex,"Holistic Simulation, Climate Change Studies, Watershed management   ","DEM, LULC, Precipitation, Temperature",Not open source,"Lacks optimization procedures for reservoir operation, Poor sediment simulation, Limited developer and community support, Manual calibration, Large spatial resolution",Other,Former name of MIKE HYDRO
MIKE21,Water body,,,"Coastal, Estuarine, Lakes, Reservoirs","Small, Medium, Large",2D,,"Water levels, Sediment Transport, DO, phosphorus, nitrogen, Temperature, Salinity,  ",,"Seconds, Minutes",Computational Expensive,Complex,"Holistic Simulation, Storm Surge analysis, Floodplain Mapping, assess sediment and nutrient transport, Environmental Impact Assessments, ","Bathymetric data, Precipitation, ET, Wind Speed, Water quality, Flow, ",Not open source,"Simplified vertical stratification, Grid dependency can affect accuracy, Topography data may require preprocessing",Other,
GWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Monthly,Monthly,Medium Complex,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Precipitation, Temperature, Soil, ",Open source,"Poor groundwater simulation, Manual calibration, Can not be coupled with optimization algorithm, Limited applications in urban watersheds, Lacks the conception of subbasin, Not user friendly, Empirical water quality simulations, Poor channel/river routing",Other,"The Generalized Watershed Loading Function (GWLF) and ArcView Generalized Watershed Loading Function (AVGWLF) are closely related models, with AVGWLF being a GIS-enhanced version of the original GWLF model."
