Model,Water Body Type,Watershed Size,Watershed Type,Water Body Characteristics,Water Body Size,Dimensions,Simulation Type,Parameters,Time Step,Model Complexity,Simulation Objectives,Data Requirements,Model Availability,Model Limitations
GLM,Water body,,,"Reservoirs, Lakes","Small, Medium, Large",1D,,"Water Levels, Reservoir Operations,","minutes, hours",Complex,"Holistic Simulation, Support reservoir management decisions, Climate Change Studies","Bathymetric data, Solar radiation, temperature, wind speed, relative humidity, precipitation, Inflows, outflows,",Open source,"assumes horizontal homogeneity, Simplified Mixing Processes, Dependent on Input Data, No Water Quality,  "
AnnAGNPS,Watershed,Medium,Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,"Holistic Simulation, BMP locations","DEM, LULC, Soil, Precipitation, Temperature",Open source ,"Does not simulate baseflow, poor sediment simulation, poor groundwater simulation, manual calibration,  limited developer and community support, Point source loads are limited to constant loading rates for the entire simulation period, can not be coupled with optimization algorithm, does not simulate large watersheds, does not simulate urban watersheds, sensitive to parameter calibration"
DLEM,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN, TSS",Daily,Complex,Holistic Simulation,"DEM, LULC, Soil, Precipitation, Temperature",Open source,"poor sediment simulation, can not be coupled with optimization algorithm, manual calibration,  poor groundwater simulation, limited community support, Poor Simulation of Extreme Events, poor simulation of small watersheds "
ELEMeNT-N,Watershed,Medium,"Agricultural, Urban",,,,Continuous model,TN,Daily,Medium,"Evaluate legacy Nitrogen, predict nitrogen dynamcis in a watershed","LULC, N surplus",NA,"
ELEMeNT-N is limited in its ability to address long-term legacy N dynamics as it ignores temporal changes in soil organic N (SON) mineralization rates (Zhou et al., 2023).
Limited by the model structure and data availability, N aged >10 years consisted of two components: N inputs from more than 10 years ago and the natural background N pool (Zhou et al., 2023), the assumption of simplified hydrological and biogeochemical processes, manual calibration"
HYDROTEL,Watershed,,,,,,Continuous model,Q,Daily,Complex,Holistic Simulation,"Precipitation, Temperature, ",Not open source,"Does not simulate Water quality
"
LSPC,Watershed,,,,,,Continuous model,"Q, TP, TN, TSS",Sub-daily,Medium,"Holistic Simulation, TMDL development,  Land use changes assessment","DEM, LULC, Soil, Precipitation, Temperature, evapotranspiration",Open source,"does not allow multiple subbasins to connect to a single reach, poor interactive process between surface and subsurface water, does not simulate BMPs, poor sediment simulation, can not be coupled with optimization algorithm, manual calibration, poor groundwater simulation, limited community support"
MapShed,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Medium,Holistic Simulation,"DEM, LULC, Soil, Precipitation, Temperature",Open source,"One limitation with the model is that it takes all the crops as one, missing channel/river routing, manual calibration,  poor sediment simulation, poor groundwater simulation, can not be coupled with optimization algorithm, limited applications in urban watersheds, the simulation is still based on monthly step"
AVGWLF,Watershed,"Medium, Large",Agricultural,,,,Continuous model,"Q, TP, TN, TSS",Daily,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Soil, Precipitation, Temperature",Open source,"Monthly nutrient load outputs, poor groundwater simulation, manual calibration, can not be coupled with optimization algorithm, limited applications in urban watersheds, "
Mike Basin,Watershed,"Medium, Large","Agricultural, Urban",,,,Continuous model,"Q, TP, TN",Daily,Complex,Holistic Simulation,"DEM, LULC, Precipitation, Temperature",Not open source,"It lacks optimization procedures for reservoir operation, poor sediment simulation, not well documented, manually calibration, the resolution of Mike Load Calculator is the subcatchment, which means the available N and P yields were averaged for subbasins before being used in the quality modeling"
GWLF,Watershed,,,,,,Continuous model,"Q, TP,TN, TSS",Monthly,Medium,"Holistic Simulation, TMDL development","DEM, LULC, Precipitation, Temperature",Open source,"poor groundwater simulation, manual calibration, can not be coupled with optimization algorithm, limited applications in urban watersheds, lacks the conception of subbasin, ignores spatial variability in sub-surface modeling, not user friendly"
